User,Comment Date,Comment
Sadat M,۱۴۰۰-۰۱-۱۴,این کرم فاقد چربی هست و به همین دلیل بافت کرم نسبتا غلیظ و سفت به نظر میرسه ولی مناسب پوست های چربه و در کنار رایحه خوبش، باعث نرمی و لطافت پوست میشه.
زهرا محمدابادی,۱۳۹۹-۱۱-۲۵,فوق العاده خوشبووووووو و حس تازگی و تمیزی داره زود جذب میشه و اصلا چربی نداره ظرف شیشه ای خیلی جدابش کرده و حجمش عالیه من پوست چربی دارم و خیلی روی ابرسان و مرطوب کننده حساسم و این نیاز های منو براورده کرد
سمانه اکبری,۱۳۹۹-۱۱-۱۳,امروز به دستم رسید واقعا عالیه و نسبت به حجمش قیمت خوبی داره.بوی ملایم و خیلی خوبیم داره کلا حس خوبی به پوستم داد پوست من مختلطه 😍🌼
عاطفه شیخی,۱۳۹۹-۱۰-۱۴,یه مرطوب کننده قیمت مناسب با رایحه نسبتا زیاد ولی خوشبو.اینجوری نیست که تاثیرش فقط چند ساعت بمونه.من ۲ هفته برای خشکی دستم استفاده کردم و بعد چندروزی نتونستم ادامه بدم اما همچنان پوستم نرم بود.با توجه به قیمت و حجم ارزش خرید داره چون روی شیشه نوشته میشه برای صورت هم استفاده کرد ،من چند باری استفاده کردم اما بوش یکمزیاده و برای منی که حساسیت دادم سرفه ابجاد میکرد
Sadat M,۱۳۹۹-۰۹-۲۱,اولین باره که این محصول رو از روژا سفارش دادم، به عنوان اولین تجربه خرید از روژا، واقعا راضی بودم، بسته بندی محصول به شکلی مناسب و با دقت صورت گرفته بود و دقیقا در بازه زمانی تعیین شده به دستم رسید. درباره این کرم هم باید بگم که هم از قیمت مناسبی برخورداره و هم از کیفیت خوبی، گذشته از عطرآگین بودنش، بافت سبکی داره، اگرچه در ظاهر به نظر میرسه که بافت سفتی داره ولی این مورد به خاطر اینه که فاقد چربی هست، خیلی سریع جذب پوست میشه و لطافت خاصی به پوست دست و صورت میبخشه به طوری که بعد از استفاده خودتون متوجه تغییر حالت پوست تون میشید.
Sadat M,۱۳۹۹-۰۹-۲۱,نسبت به قیمتی که داره از کیفیت خوبی برخورداره، بافتش سبکه، به سرعت جذب پوست میشه و پوست رو لطیف میکنه.
پریسا صباغی,۱۳۹۹-۰۹-۱۶,محصول بسیار خوبیه حجم زیادی هم داره و خاصیت مرطوب کنندگی خیلی خوبی داره👌
الهام بهشتی,۱۴۰۱-۰۶-۰۳,هر دو مدلش تقریبا مثل هم هستن و محبوب موهای من چربی ندارن و زود جذب و وز موهام رو کم کرده
بردیا یاقوتی,۱۴۰۰-۱۱-۱۷,این مدلشم مثل مدل آبی عالی هست و کارایی تقریبا یکسان. وز و گره موهام کم شده
الینا دریغ,۱۴۰۰-۰۹-۱۵,عالیِ و بوی خیلی خوبی هم داره. موهام فرِ و آبرسانیش کمه نمی‌خواستم محصولی استفاده کنم که حالت موهامو صاف کنه یا ظاهرش چرب بشه فقط می‌خواستم وزی موهام برطرف بشه و خوش حالت بمونه که این آبرسان با این تفاسیر خیلی خوب و کاربردیِ برام. حتما استفاده کنید ازش.
آتنا محبی,۱۴۰۰-۰۹-۱۵,خیلی خوب و کاربردیه و من راضیم
زهرا ممدوحی,۱۴۰۰-۰۹-۱۴,برای بعد از حمام مناسبه و موهارو نرم میکنه و گره ها رو باز میکنه
مرضیه آریافر,۱۴۰۰-۰۵-۳۱,بوی خوبی داره و موهارو خیلی نرم می کنه و وز موهارو کامل می گیره و اصلا به مو ظاهری چرب و چسبنده نمی ده.
زهرا عبدلی,۱۴۰۰-۰۵-۲۹,موها رو نرم میکنه خوشبو و به صرفه ست من چند بار تمدیدش کردم
Maryam Rezaei,۱۴۰۰-۰۵-۲۹,کیفیت متوسطی داره.وقتی مو نم داره استفاده میکنم.وز مو رو کم میکنه
رضوان اخلاقی,۱۴۰۰-۰۵-۲۹,برا منی که موهای خشکی دارم و گره میخوره عالیه... با استفاده از یه ذره از این محصول کل موهام رو میپوشونه و گره موهام رو باز میکنه و راحت شونه میشه
وحیده نیکفرجام,۱۴۰۰-۰۵-۲۶,من به هیچ عنوان این محصول رو توصیه نمیکنم، موهای من دکلره اس و خشک شده ولی این ماسک هیچ تاثیر خاقی روی موهای من نذاشته، نه دوباره خرید میکنمش نه به کسی توقیه میکنم، هیچ تاثیری در آبرسانی و جلوگیری از موخوره و شکنندگی مو نداره
الهام خرسند,۱۴۰۰-۰۵-۲۵,توصیه میکنم استفاده کنید. خیلی مو رو نرم میکنه و همه گره ها باز میشن و وز کم میشه
مهلا پدیداران,۱۴۰۰-۰۵-۲۴,خیلی محصول خوب و به صرفه ایه پیشنهاد میکنم استفاده کنید موهارو نرم میکنه و گره نمیخوره مو
فهیمه کیخا,۱۴۰۰-۰۵-۲۴,از خریدم راضی بودم نرم کننده گیش کم هست،ولی حجم میده به مو ک برایی ک حجم دهنده میخوان عالیه.
یگانه آرش نیا,۱۴۰۰-۰۵-۲۴,من چند ماهی هست از این محصول استفاده میکنم و با اینکه موهای پرپشت و فزی دارم حالتو موهامو بهتر میکنه و هم نرم تر میکنه
نرگس عیوضی,۱۴۰۰-۰۵-۲۳,خیلی ازش راضیم. موهای من تقریبا بعد حمام حالت فر داره و خیلی خشکه که وقتی شونه میکنم موهام بدجور وز میشه. اما این محصول رو که استفاده میکنم موهام وز نمیشه بعد شونه کردن و خیلی خوش حالت می ایسته. بوی خوبی داره و کمی موها رو پرتر هم نشون میده. راضیم ازش
مریم مریمی,۱۴۰۰-۰۴-۰۱,من از خریدم راضی بودم حتما استفاده کنید
مریم مریمی,۱۴۰۰-۰۴-۰۱,خیلی محصول خوبیه پیشنهادش میکنم
مریم مریمی,۱۴۰۰-۰۴-۰۱,خیلی خوبه من بعد از هردفعه حموم استفاده میکنم خشکی موهام برطرف شده خیلی خوب شده
الهام خرسند,۱۴۰۰-۰۳-۲۵,این محصول خیلی خوبه و حتما باید استفاده کنم وگرنه بعد حمام موهام شانه نمیشه.. اصلا هم چرب نیست
دنیا نوید,۱۴۰۰-۰۳-۲۳,من چند وقتی هست که استفاده میکنم و به نظرم محصول خوبیه و موها رو خیلی نرم میکنه
الف فرجی,۱۴۰۰-۰۳-۲۳,این محصول برای من واقعا پول‌ درو ریختن بود به هیچ‌ کاری نمیاد اگه بزنی رو موی خشک یا خیس بعد حموم سشوار بکشی موهاتو وز‌ میکنه اگه تو حموم بزنی تاثیری نداره کلا جالب نیست
دریا محمدی پور,۱۴۰۰-۰۳-۲۲,من مامانم این محصچل رو از سایت شما برام خرید واقعا حرف نداره عالیه عالی😍😍😍😍😍
فاطمه رسولی,۱۴۰۰-۰۲-۰۵,من حس کردم بعد چندهفته استفاده ریزش مو گرفتم اما برای کسایی که موی رنگ کرده دارن فکرمیکنم خوب باشه روی ساقه موهاشون بزنن نرم میشه موهاشون اما برای کسایی که رنگ موندارن و موهای لخت دارن بنظرم خوب نیست
پری ناز بهاری,۱۴۰۰-۰۱-۱۴,موهاي من بخاطر دكلره خيلي وز داشت و خشك شده بود شديا. اين كرم رو خريدم بعد حمام رو موي نمدار ميزنم و اسكرانچ ميكنم ازش راضي هستم چرب نيست و مو رو سنگين نميكنه عطريه ولي نه اونقدر كه اذيت كنه من عطرشو دوست دارم . سبك و زودجذبه و روزهاي بعدي هم ميشه باز روي موي شسته نشده زد و مو رو سنگين نميكنه
الهام خرسند,۱۴۰۰-۰۱-۱۲,خیلی خوبه وز موهام خوب شده و موهام نرم و لطیفه. چند تا ازش گرفتم که همیشه داشته باشم
سمیرا رابط,۱۴۰۰-۰۱-۰۸,من موهام نازک بود ازین کرمه استفاده کردم خیلی خوبه 👍🏻❤️
پرگل عبدی,۱۳۹۹-۱۰-۰۷,به جای اینکه مو رو صاف کنه آبرسانی کنه حالت خوب بده بدتر خشک میکنه انگار روی موها یه لایه ایجاد میکنه که هک مو خیلی خشک میشه هم کدر من که اصلا راضی نبودم رفت جزو هزینه های حروم شده.
مهلا کرمی,۱۳۹۹-۰۹-۲۷,باورم نمیشه این محصول انقدر برای موهای فر من خوب بود واقعا خوشحالم که بعد از این همه هزینه و استفاده از برندای مختلف تونستم محصول مورد علاقمو‌پیدا کنم پیشنها میکنم از دستش ندین
رویا متین,۱۳۹۹-۰۹-۱۶,من موهام فره و خیلی دنبال یک محصول خوب و سبک بودن که حالت موهام رو حفظ کنه،مرسی از روژا که هوای ما مو فری ها رو هم داره ❤️
نجمه آرایش خواه,۱۳۹۹-۰۹-۱۶,عالیه من مه استفاده کردم و موهام نرم و لطیف شد به خصوص اگر قبل از سشوار ازش استفاده کنید واقعا به صرفه است و بوی خوبی داره.
مروارید بیجاری,۱۳۹۹-۰۹-۱۶,این مدل ابرسان مو کامان حرف نداره یعنی من هرچی از خوب بودنش بگم کمه،هر دفعه از حموم میومدم کلی ریزش مو داشتم ولی وقتی این ابرسان رو استفاده کردم ریزش مو ندارم عااالیه ،این مدل صورتیش رو خریدم و باتوجه به نیاز انتخاب کنین
فاطمه حسینی,۱۳۹۹-۰۹-۱۶,الان مدت دو هفته است که خریدمش و دارم استفاده میکنم سبک خوشبو هستش و وز مورد تا حد زیادی از بین میبره البته من موهای صافی دارم و بیشتر برای موخره موهام خریدم و ازش راضیم
زهرا تاجیک,۱۴۰۱-۰۶-۰۹,بو شدیدی نداره اینطور که بقیه میگن بعد از خشک شدن بوش از بین میره حس شادابی میده یک ساله استفاده میکنم نسبت به قیمتش تونر خوبیه
shamim vahid,۱۴۰۱-۰۲-۱۵,تاثیری نداره روی پوست من باعث جوشای ریز شد
زهرا جعفری,۱۴۰۰-۱۱-۱۳,آلودگی رو به صورت سطحی پاک میکنه بوش خیلی عالی نیست ولی خب بوی بهار نارنج میده حداقل نسبت به حجم و قیمتی که داره کیفیتی بدی نداره
فاطمه عباسی,۱۴۰۰-۰۹-۲۱,من از این محصول استفاده کردم و راضی نیستم نه بوی مطبوعی داره نه کار خاصی انجام میده نسبت به قیمتی که داره فکر میکنم هیچ کاری نمیکنه اب و گلابو ترکیب کنیم و بزنیم بنظرم خیلی بهتره تا این محصول..
نسیم رضایی,۱۴۰۰-۰۹-۲۱,این تونر بوی خوبی داره حس خوبی به پوست میده ولی خاصیت پاک کنندگی چندانی نداره فقط برای لطافت و حس خوب پوست میتونین استفاده کنید ازش
کوثر سجادی,۱۴۰۰-۰۹-۱۹,تونر بهارنارنج عارضی دوسش داشتم بوی خوبی داره حس خوبی به پوست میده .
الهه فریدونی,۱۴۰۰-۰۹-۱۶,مدتي از اين تونر اسپري ميكنم روي صورتم بنظرم منافظم بهتر شده و پوست رو سرحال تر ميكنه و خوبي ديگش هم اين كه باهاش جوش نزدم با اين كه پوستم مختلط و حساس اما پاكنندگي خوبي نداره
بیتا فتح اللهی,۱۴۰۰-۰۹-۱۶,این تونر حس خوبی به پوست میده بوی اون واقعا باعث ارامش میشه. به اندازه تونر های دیگه پاک کنندگی نداره ولی برای استفادا روزانه خوبه
لیلا گودرزی,۱۴۰۰-۰۹-۱۵,تازه خریدمش بوش رو خیلی دوست دارم.
شوکا خلیلی آملی,۱۴۰۰-۰۹-۱۵,تونر بوی خوبی داره و من از خریدش راضیم و باعث شفاف شدن پوستم میشه.
ساناز محمدی,۱۴۰۰-۰۹-۱۵,بیش از یکسال از این محصول استفاده میکنم وقتی استفاده میکنم حس خیلی خوبی بهم میده بعلاوه پوستمو شفاف کرده . ایندفعه توتخفیف خریدمش
مونا,۱۴۰۰-۰۹-۰۴,بوی گلاب بیشتر میده. شک کردم بهار نارنج و خریدم یا گلاب
ملیکا کلاهی,۱۴۰۰-۰۵-۳۱,پوست شاداب میکنه و باعث نرمی پوست میشه و رایحه خیلی خوبی داره و میشه قبل ارایش استفاده کرد یا حتی بعد شستو شو صورت اسپری ب صورت کرد
الهام خرسند,۱۴۰۰-۰۵-۲۵,خیلی آرام بخشه و پوست رو نرم میکنه
حوریه عابدی,۱۴۰۰-۰۵-۲۴,کلا آرامش میده به پوستت
شمین عبادی,۱۴۰۰-۰۵-۱۹,بار اولی که خریده بودم خیلی راضی بودم و اینبار نه..پوستم بد مدتی بوی بدی می گیرد
میترا بهمنی,۱۴۰۰-۰۳-۳۱,خیلی محصول خوبیه ،خیلی حس خوبی میده ،بو و عطر خوبی داره و توی کوچک شدن منافذ موثره
الهام خرسند,۱۴۰۰-۰۳-۲۵,خیلی خوبه و نحوه استفاده ازش هم راحته. واسه دصابون ابرو هم میشه ازش استفاده کرد
الف فرجی,۱۴۰۰-۰۳-۲۲,بسیار عالی هست و حس طراوت به پوست میده ولی پاک کنندگی نداره بیشتر آبرسان پوست هست تا تونر شب ها چند پاف اسپری کنید به خواب کمک میکنه عطر بهارنارنج
نسیم رضایی,۱۴۰۰-۰۱-۱۵,بوی خیلی خوبی داره،بعد از استفاده احساس شادابی و نشاط به پوست میده،کاملا میفهمی که پوستت داره نفس میکشه
الهام خرسند,۱۴۰۰-۰۱-۱۳,با این تونر حس طراوت و تازگی میگیره صورتم. هم میشه اسپری کرد و هم میشه روی پد اسپری کنید و بعد به صورت بزنید. من گاهی واسه صابون ابرو هم استفاده میکنم.
مریم یونس پور,۱۴۰۰-۰۱-۱۱,من این محصول از سایت روژا خرید کرده بودم، با قابلیت اسپری و طبیعی بودن و رایحه ملایم، بعد از هر بار استفاده حس خوب انتقال میده.
مصطفی نیرومند,۱۴۰۰-۰۱-۰۸,من ازین مخصول استفاده میکنم .بوی کمی داره که زود میپره . بعد شستن صورت اسپری میکنم که حس خوبی به پوست میده .
مهسا همت جو,۱۳۹۹-۰۹-۱۸,سلام دوستان می‌خوام راجع به این اسپری نظر خودمو بگم اول اینکه این سرم برای من که پوست مختلط داشتم خوب بود و آبرسانی متفاوت و خاصی به پوستم میداد که بسیار خوشایند بود و رایحه ملایم و خوبی هم داشت و دوم اینکه این محصول یه چیزیه که واسه همه نیازه و برای اینکه پوست سرحال و شادابی داشته باشیم بهتره که از چنین محصولاتی استفاده کنیم که نتیجه شو ببینیم💗
سحر کرمی,۱۳۹۹-۰۹-۱۸,بوی خیلی خوبی دارن این تونر ها. چربی پوست رو کنترل میکنن و منافذ پوست رو میبندن. بعد از شستن صورت یا بعد از حموم خیلی پوست رو سرحال میکنه
فاطمه خانجانی,۱۳۹۹-۰۹-۱۸,این تونر یک تونر طبیعیه برای پوستای چرب و مختلط من چون تونر خوب دیگه تو ایران فعلا نیست خریدمش ، ب نظرم خوبه و چربی پوست رو کنترل میکنه ولی فکر نمیکنم چربی پوست های خیلی چرب رو انقدرا هم کنترل کنه ، من پوستم مختلطه باهاش جوش نزدم ب نظرم توی تونرای ایرانی خوبه، میتونید هم اسپری کنید هم بعد از اینکه اسپری کردید با پد پنبه ای مثل تونر های دیگه روی صورتتون بکشید
Donya Arab Makki,۱۳۹۹-۰۹-۱۶,من به عنوان سپری آب ازش استفاده میکنم بی نظیره قبل و بعد از ارایشم روی پوستم میزنم
مهسا خدابنده لو,۱۳۹۹-۰۹-۱۵,من از این تونر یه مدتی هست که استفاده میکنم،چربی پوست رو کنترل میکنه و اگ طولانی استفاده بشه منافذ کمتر میشه
راضیه محبی,۱۴۰۱-۰۹-۱۴,عالیه ، دفعه دومه که شارژ کردم ، باز هم خرید میزنم ، خیلی سبک و باحاله
مرضیه علیزاده,۱۴۰۱-۰۵-۲۵,خیلی کرم خوبیه من چون پوستم چربه هر کرمی ونمیتونم استفاده کنم اما این کرم خیلی سبک وخوب بود وپوستم وبرق نمیندازه
سما عبادی,۱۴۰۱-۰۳-۰۴,این محصول،ڪرم آبرسان ومرطوب ڪننده باهم هست ومناسب انواع پوست،پوست من خشڪه وبدون ڪرم دچارکشیدگی میشه،خیلیم به بووجنس ڪرم حساسم.خیلی وقت بوددنبال یه ڪرم آبرسان ومرطوبڪننده میگشتم ڪه هم قیمت مناسب باشه چون محصولیه ڪه بایدتوی روتین پوستیم باشه وقیمت مناسب میخواستم.بادڪترداروسازی چندباراین ڪرم رو معرفی ڪرده بودن وگفتن خودشونم استفاده ڪردن مشورت ڪردم ایشون گفتن ڪه مرطوب ڪننده هم هست واین عالیه چون بعداززدن آبرسان زدن مرطوبڪننده واجبه.واینڪه این ڪرم دوڪاره ست عالیه،بوی خیلی ملایم وخوبی داره،بافت ژل ڪرم داره عکسشو میزارم،سبڪ وزودجذبه،بعد اززدن یه حالتی ،اگه ژل آلوئه ورا زده باشید مثل اون روی پوست هست،اونم بخاطرداشتن آلوئه ورا تو ترڪیباتشه.من خودم اصلا تحمل چربی وسنگینی روپوستم ندارم واین ڪرم هم سبڪہ وهم وزودجذبه،ازپکیجینگش خیلی خوشم اومد.بی کیفیت نبود،رطوبت مورد نیازپوست رو تامین میڪنه با آبرسانی خوب،به پوست شفافیت میده بخاطر آبرسانی خوبش ازچروڪ پوست جلوگیری میڪنه، خیلی راضیم. من خیلی ڪرم گرفتم نصفه رها ڪردم استفاده نڪردم،این روتقریبا دارم تموم میڪنم.ودفعه بعد احتمالا مدل ۱۲۰میلشو میگیرم چون اینو برای تست سایزڪوچڪ گرفتم،امیدوارم نظروتوضیحاتم براتون مفید باشه..سلامت وموفق وجوان باشید..
آنیتا مهربان,۱۴۰۱-۰۲-۲۵,خیلی سبکه زود جذب میشه .کاملادپوستو نرم‌میکنه .کیفیت خوبی داره
تکتم عرجی,۱۴۰۱-۰۱-۰۴,یعنی عالیه هرچقدرازش تعریف کنم تااستفادهش نکنین متوجه نمیشین
ع محمدی,۱۴۰۰-۱۱-۲۲,عالیه من خیلی دوسش دارم ممنونم از روژا
parastoo tousi,۱۴۰۰-۱۱-۱۵,کرم خوبیه، چرب و سنگین نیست، سریع جذب میشه، بوی خوبی هم داره با توجه به حجمش مقرون به صرفه است
ندا رشیدی,۱۴۰۰-۱۰-۲۷,با سلام من بیشتر از یک سال از این کرم استفاده میکنم با توجه به پوست چرب و حساسی که دارم واقعا بهترین انتخاب برای من بوده و بهتون پیشنهادش میدم.
زهرا محمدی,۱۴۰۰-۰۹-۲۱,به شدت برای کسایی که پوست چرب دارن و دنبال آبرسانی می گردن که با هاش جوش نزنن پیشنهاد میکنم من خودم یک ماه ازش استفاده کردم خیلی راضیم .
زهرا محمدی,۱۴۰۰-۰۹-۲۱,من از این آبرسان و سه هفته اس استفاده میکنم چربی نداره وحالتش ژل کرمه بوی خیلی ملایمی هم داره اصلا با هاش جوش نزدم در کل من راضی بودم
فاطمه حاجی پور,۱۴۰۰-۰۹-۱۵,سلام دوستان من این کرم رو به شدت بهتون پیشنهاد میکنم بافت سبک جذب سریع وابرسانی فوق العاده من پوست چربی دارم برای بار دوم پک دوقلوی این کرم رو در تخفیف روژا خریدم و بسیار راضیم از خریدم.
فاطمه حاجی پور,۱۴۰۰-۰۹-۱۵,این محصول واقعا فوق العاده ست من برای بار دوم این محصول رو خریداری کردم بافت سبک جذب سریع و ابرسانی فوق العاده. پک دوقلوی این محصول رو در تخفیف خریداری کردم با قیمت بسیار مناسب
سارا آقاجانی,۱۴۰۰-۰۹-۱۵,حدود یک هفتست که دارم ازش استفاده میکنم و تا الان خیلی راضی بودم ازش، مرطوب کنندگی بالایی داره و کالا سالم به دستم رسید.
سارا قره داغی,۱۴۰۰-۰۹-۱۵,دومین باره ک میخرمش. خیلی دوسش دارم. بلافاصله جذب میشه. و خیلییی سبکه
زینب حسینی,۱۴۰۰-۰۹-۱۵,بافت ژل کرمی داره و بسیار سبک هست من زیر ارایش که استفاده میکنم اثر خوبی داره و نسبت به قیمتش کیفیت خوبی داره
زهرا افشاری,۱۴۰۰-۰۹-۱۵,من پوست حساسی دارم کرم های آبرسان و مرطوب کننده مختلفی را امتحان کردم تا به این محصول رسیدم واقعا عالیه بعد از چندبار استفاده کاملا تغییر مشهوده اصله باعث جوش نمیشه و پوست را روشن و شفاف میکنه
آنیتا مهربان,۱۴۰۰-۰۹-۱۴,واقعا من ازمحصولات ژوت راضیم زود جذب میشه پوست نرم ولطیف میکنه وبا استفاده مداوم تاثیرش رو میبیند
ریحانه افضلی,۱۴۰۰-۰۹-۱۳,واقعا بافت سبکی و عالی داره و سریعا جذب میشه واقعا کاربردی میباشد پیشنهاد میکنم👌🏻👌🏻
شیدا شافعی,۱۴۰۰-۰۷-۱۸,پوست من رو نرم میکنه و خیلی سریع جذب میشه، بعد از چند روز استفاده تاثیرش روی صورتم کاملا واضح بود، عاشقشم.
ثمین بهبودی,۱۴۰۰-۰۵-۲۹,من این ابرسان رو چیزی حدوده یکساله که دارم.واقعا ابرسان خوبیه.به شرطی که مداوم استفاده کنین.بعد از دو هفته پوستتون نرم و لطیف میشه.(من پوستم چربه و هربار بعد از حموم و زمانی که صورتمو میشورم و منافذش بازه میزنم) من این محصول رو واقعا پیشنهاد میکنم.
حانيه گل گير,۱۴۰۰-۰۵-۲۷,بسیار سریع جذب پوست میشه و حس طراوت و لطافت خاصی میده من از خریدش به شدت راضی بودم واقعا عالی بود
ستاره دانش,۱۴۰۰-۰۵-۲۴,این کرم دارای قدرت آب رسانی خوبی بوده و سبک است ولی نمیدانم چرا درب داخلی آن پلمپ نبوده.ظرف مناسبی دارد و قابل حمل در کیف بوده و نمیریزد و در گرما آب نمیشود
paria moazezi,۱۴۰۰-۰۵-۲۴,این ابرسان واقعا به قیمتش عالیه ، زود جذب و سبکه ، حس خوبی میده ، من همیشه یکی یدک دارم ازش و روزانه مصرف میکنم ولی شاید برای من که پوستم مختلط رو به چربه شب که میرنم ، صبحا صورتمو چرب میکنه یکمی که قابل تحمله و باید حتما بشورم صورتمو .
زهرا موحدی نیکو,۱۴۰۰-۰۵-۲۴,برای مصرف روزانه عالیه ابرسان با عطر ملایم👌🏻
شهرزاد شفایی,۱۴۰۰-۰۵-۲۴,این کرم آبرسان برای من اوایلش خوب بود ولی بعد صورتم جوش زد. حالا نمیدونم بخاطر همین کرم بود یا چیز دیگه :؟ ولی بافت سبکی داره
مهسا همت جو,۱۴۰۰-۰۵-۲۴,سلام دوستان اول از همه بگم که من از این کرم راضیم خیلی زیاد چون علاوه بر اینکه پوستتونو آبرسانی میکنه باعث میشه ۲۴ ساعته پوستتون مرطوب بمونه و از دهیتراته بودن پوستتون خلاص بشین و اینکه اگه پوست ۲۴ ساعت آبرسانی شده باشه باعث میشه که چروک های ریزی که در اثر خشکی پوست ایجاد شده بودن به طور کامل از بین برن و پوست شاداب و نرمی بهتون هدیه بده پس واسه همینه که من ژوت رو انتخاب کردم .
مینا صفی,۱۴۰۰-۰۵-۲۴,این ابرسان بسیار سبک و عالی است. نسبت به مارکهای دیگه هم هزینه ی کمتری داره هم کیفیت خوبی.
احسان دقیقى,۱۴۰۰-۰۵-۲۴,"ابرسان oil free ارزشمند از همه نظر با محتويات عالى از جمله shea butter , vitamin , Ale كه بسيار متمايزش كرده Highly recommended"
ناهید کرمانی,۱۴۰۰-۰۵-۲۴,ابرسانی فوق العاده خوبی داره با بوی ملایم، بسیار سبک و زود جذبه باعث جوش زایی هم برای من نشد. در کل راضی بودم ازش و بازم میخرم
فائزه مصدقی,۱۴۰۰-۰۵-۲۴,بافت کرم سبک و زود جذبه البته اول که میزنی خیلی کم پوست رو چسبناک میکنه ولی آزار دهنده نیست و زود برطرف میشه، برای من تا حالا باعث جوش نشده و تاثیر خوبی روی جنس و لطافت پوستم داشته. تا حالا دوبار از این محصول خریدم و راضی بودم
پریسا کیماسی,۱۴۰۰-۰۴-۰۳,این کرم ابرسان عالیه بافتش مثه آب میمونه سبک و زود جذبه ،پوستم خشکه تمام نیاز پوستمو برطرف میکنه ،حجم بالایی هم داره
پرستو کریمی,۱۴۰۰-۰۳-۲۴,در یک کلام عالی من همیشه باید یه دونه زاپاس داشته باشم خیالم راحت باشه هرموقعه تخفیف می‌خوره می‌گیرم که داشته باشم مقدارش خوبه راضیم به صرفه اس
فاطمه صدری,۱۴۰۰-۰۲-۰۷,بین آبرسان های قیمت مناسب ، ژوت بهترینه
فاطمه صدری,۱۴۰۰-۰۱-۲۶,خوبه راضیم. سفارش خیلیییییی مرتب بدستم رسید.ممنون از روژا
فاطمه عروجقلی لو,۱۴۰۰-۰۱-۱۱,این آبرسان بهترینه. هربار سه تا سه تا سفارش میدم پوستم چربه جوش نزدم باهاش به همه پیشنهاد کردم هرکی تهیه کرده راضیه ازش
م علیمحمدی,۱۴۰۰-۰۱-۱۱,بهترین کیفیت و مناسب ترین قیمت خیلی سبکه و خیلی سریع جذب میشه من برای دست هم استفاده میکنم و اصلا چرب نیست قبلا از آدرما و تاپی کرم استفاده کردم و این در نوع خودش یه کرم عالی هست
زهرا جوادی,۱۴۰۰-۰۱-۰۸,این محصول برای پوست های خشک عالیه برای من که پوستم مختلط هست که خیلی خوب بود و برای بار چهارم شارژ کردم آبرسانیش عالیه بافتش سبکه و برای من باعث جوش نشد
مرجان صادقی,۱۴۰۰-۰۱-۰۸,من هر بار این محصول رو چند تا چندتا میخرم چون واقعا عالیه جذبش فوق العاده سریعه و خیلی سبکه
تکتم عرجی,۱۳۹۹-۱۲-۰۳,فوق العادهس واقعاراضیم
ماندانا حسینزاده,۱۳۹۹-۰۹-۳۰,واقعا عالیه.من پوستم خشک و حساس بود از وقتی مرتب دارم استفاده میکنم پوستم رو ابرسانی کرده و جون داده بهش.محصول بسیار عالی هستش
رحيمه عالي شيرمرد,۱۳۹۹-۰۹-۱۹,بسيار مناسب جهت رفع خشكي پوست و تسكين دهنده ي درد ناشي از آن با پرداخت كمترين هزينه توام با سرعت بخشي در درمان آن.
پرستو کریمی,۱۳۹۹-۰۹-۱۸,یک ماه هستش از این آبرسان استفاده می‌کنم و جوش نزدم و راضی بودم بافت خیلی خوبی داره پوست من هم نرمال رو به خشک هستش
شیرین حیدری,۱۳۹۹-۰۹-۱۸,کرم خوش بو و مناسبیه من که خیلی راضی بودم
پریسا کرمی,۱۳۹۹-۰۹-۱۶,برای پوست من که چرب بود باعث جوش شد انگار برای پوستای نرمال و خشک خوبه فقط
فاطمه عروجقلی لو,۱۳۹۹-۰۹-۱۶,من پوست چرب و مستعد جوشی دارم. همیشه باید روتین پوستمو رعایت کنم. از مرطوب کننده و آبرسان مناسب استفاده کنم که باعث جوش هم نشه. به وسیله یکی از بلاگرای مورد اعتماد این محصولو خریدم و فوق العاده راضیم اصلا با یکبار استفاده هم میشه تفاوتشو حس کرد خیلی باکیفیته با محصولات خارجی میتونه مقایسه بشه خدا کنه گرونش نکنن تا هی بتونم تمدیدش کنم. حتما پیشنهادش میکنم
الناز الیاسی,۱۳۹۹-۰۹-۱۶,بعد از دو هفته استفاده آبریانی پوست خودتون متوجه‌میشین
Raz Jfr,۱۳۹۹-۰۹-۱۶,ژوت برند ایرانی بسیار عالی و قابل مقایسه با انواع فرانسوی و ... است. بعنوان مرطوب کننده روزانه میتونید استفاده کنید. یا بعنوان زیر آرایش . یا زیر کرم ضد آفتاب رنگی تون. ساختار کرم خیلی سبک و جذب خوبی داره وقتی میزنید قشنگ حس میکنید پوست تون داره تغذیه میشه. من جوش زیر پوستی میزنم اگه محصول خوب نباشه و با اطمینان میگم با این‌کرم ژوت جوش زیر پوستی نمیزنم البته من برای جوش زیر پوستی تحت درمان هستم و این کرم ژوت توصیه متخصص پوست بود بهم‌
مهسا خیراتی,۱۳۹۹-۰۵-۲۶,من پوستم چرب و همیشه از محصولات فاقد چربی و کنترل چربی باید استفاده کنم که بعضی موقع ها باعث خشکی پوستم میشه اما این محصول بعد از چند بار استفاده دیگه اون خشکی پوستم گرفته و کاملا کار آبرسانی انجام داده به نظرم عالیه هم کیفیت هم قیمت👌بوی خیلی خوبی هم داره😍
نوشین نصیری پرتوی,۱۳۹۹-۰۵-۱۸,وااای من اول عاشق بوش شدم واقعا معرکه ست و قیمتش تو تخفیف عالیه ۴ تا خریدم 😍 فعلا یه بار استفاده کردم
